"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 22 14:34:37 CST 2021","Fri Oct 22 14:34:37 CST 2021","378","Testcases","test_clearvm","TestDeleteVM","","","test_ClearVM","
        删除vm
        :param open_browswr:
        :return:
        "
"passed","Fri Oct 22 15:17:12 CST 2021","Fri Oct 22 15:17:13 CST 2021","775","Testcases","test_createvm","TestCreateVM","","","xiugaibiaoti->yi.pan,hfhhffdg","miaoshu"
